start_date,end_date,progress,duration_seconds,finished,recorded_date,campus,group_number,nanostore_name,address,coordinates_text,street_type,location_type,store_size,latitude,longitude,valid_coords
2025-11-20 12:11:33,2025-11-20 12:12:46,100,72,True,2025-11-20 12:12:48,CHI,"Valles,Robles,Santillanes",Abarrotes san carlos,"Juan de Dios Martin Barba Antes 5769-5711, Luz María, Country Alamos, 31150 Chihuahua, Chih.","28.6769264, -106.0774753",Secondary,Corner shop,<20m²,28.6765546,-106.0775203,True
2025-11-20 12:16:24,2025-11-20 12:17:23,100,58,True,2025-11-20 12:17:24,CHI,"Valles,Robles,Santillanes",Abarrotes San Carlos,"Juan de Dios Martin Barba Antes 5769-5711, Luz María, Country Alamos, 31150 Chihuahua, Chih.","28.6769264, -106.0774753",Secondary,Corner shop,<20m²,28.6769088,-106.0788979,True
2025-11-20 12:19:53,2025-11-20 12:21:50,100,116,True,2025-11-20 12:21:53,CCM,"Guzman,Paz,Becerril",Abarrotes Laura,"Prol. Canal de Miramontes 13, Coapa, Tlalpan, 14380 Ciudad de México, CDMX","19.286239464605362, -99.12832853500149",Primary,Corner shop,20-50m²,19.286402516146552,-99.12818477712446,True
2025-11-20 12:37:32,2025-11-20 12:39:01,100,89,True,2025-11-20 12:39:08,CSF,"Morse,Bernstein,Soria",Misc. La Unión,"Esq. Ato. Retorno Stim, Av. Stim 1289, Cuajimalpa de Morelos, 05129 Ciudad de México, CDMX, México","19.3556 °N, −99.2635 °O.",Primary,Middle of the street,<20m²,19.38591765409088,-99.27499959668016,True
2025-11-20 13:29:32,2025-11-20 13:34:20,100,287,True,2025-11-20 13:34:21,SLP,"Alvarez, Rosas, Silva",Mini super güero,"Editores 108, Himno Nacional 1ra Secc, 78280 San Luis Potosí, S.L.P.","(22.134760,-100.981571)",Secondary,Middle of the street,<20m²,0.0,0.0,False
2025-11-20 14:05:39,2025-11-20 14:09:26,100,226,True,2025-11-20 14:09:27,CEM,"Reyes, Uribe, Villegas",Abarrotes Alivsa,Av. Progreso esquina con Av. del trabajo,"19.988920, -98.297109",Primary,Corner shop,20-50m²,19.5992751,-99.223842,True
2025-11-20 14:44:08,2025-11-20 15:05:19,100,1271,True,2025-11-20 15:05:22,PUE,"Garc√≠a, Guerrero, Cuamatzi",Abarrotes el Güero,"Avenida 87 poniente 921-2  Mayorazgo 72470 Heróica Puebla de Zaragoza, Pue.","19.00221° N, 98.23574° O",Secondary,Middle of the street,<20m²,0.0,0.0,False
2025-11-20 19:04:37,2025-11-20 19:08:02,100,204,True,2025-11-20 19:08:05,CVA,"Cortez,Granados,Luna",Abarrotes las rositas," Rubi 42, La Joya, 62735 La Joya, Mor.","(18.8901456, -99.1233184)",Secondary,Corner shop,<20m²,18.889659425822032,-99.12354548791312,True
2025-11-21 12:10:26,2025-11-21 12:13:21,100,175,True,2025-11-21 12:13:25,CSF,Solana Pederzoli Gandarillas,Papelería Alex,General Salvador Alvarado 23,"(19.4066191, -99.1786275)",Secondary,Corner shop,51-100m²,19.40661386622404,-99.17859884594826,True
2025-11-21 10:36:57,2025-11-21 12:33:05,100,6968,True,2025-11-21 12:33:06,LAG,"delaFuente,Escare√±o,Rosales",Mini Super Dany,"Dirección cercana: Mini Super ""Dany"", San Jorge 5508, Residencial del Valle, 27270 Torreón, Coah.","(25.5316835, -103.3841938)",Primary,Corner shop,<20m²,25.51539401725517,-103.39705784913774,True
2025-11-21 15:15:33,2025-11-21 15:32:58,100,1044,True,2025-11-21 15:33:01,CCM,"Aguilar,Mu√±oz,Martinez",Cremerías “El Rey” Express,"Calle Abasolo 331-Local B, Santa María Tepepan, Xochimilco, 16020 Ciudad de México, CDMX","(19.2740885, -99.1420020)",Secondary,Corner shop,51-100m²,0.0,0.0,False
2025-11-21 15:53:22,2025-11-21 16:38:03,100,2680,True,2025-11-21 16:38:06,PUE,"Barrios, Cabrera, Heredia",Misc. Gaby,"Concepción la Cruz 270, Concepción la Cruz, 72197 San Bernardino Tlaxcalancingo, Pue.","19.020223100, -98.2493809",Secondary,Middle of the street,<20m²,19.05344088208749,-98.2228698187875,True
2025-11-21 17:31:04,2025-11-21 17:35:52,100,287,True,2025-11-21 17:35:55,SIN,"Salinas, Castro","Frutería ""Amarilla""","Blvd. Las Torres #4213, Hacienda de La Mora, 80145 Culiacán Rosales, Sin.","24.759295,-107.454637",Primary,Middle of the street,51-100m²,24.7592581,-107.4547574,True
2025-11-21 18:19:46,2025-11-21 18:28:46,100,540,True,2025-11-21 18:28:49,PUE,"Casta√±eda,Barrera,Pe√±a",Minisuper leom,"Av San Nicolás 11, Guadalupano, 74720 Huehuetlán el Chico, Pue.","18.37330, -98.68995",Primary,Corner shop,<20m²,18.37325332646549,-98.69000464094722,True
2025-11-21 19:55:38,2025-11-21 19:57:27,100,109,True,2025-11-21 19:57:30,SIN,"Padilla, Carmona, Ibarra, Castro, Salinas",Don Luis' store,https://maps.app.goo.gl/DrjvjwAeEDWeo3jb7,"24.820583,-107.431417",Secondary,Middle of the street,20-50m²,0.0,0.0,False
2025-11-22 07:12:23,2025-11-22 07:26:33,100,849,True,2025-11-22 07:26:34,CHI,"Valles,Robles,Santillanes",Super Valles,"Super Valles, Loma Linda, 33815 Hidalgo del Parral, Chih.","26.9389211, -105.6849599",Primary,Middle of the street,>100m²,0.0,0.0,False
2025-11-19 06:36:52,2025-11-22 17:38:21,100,298889,True,2025-11-22 17:38:23,CSF,"Zuniga,Hernandez,Rodriguez",El Comienzo,"numero, C. 34, Olivar del Conde 2da Secc, Álvaro Obregón, 01408 Ciudad de México, CDMX","(19.3705652, -99.2219616)",Secondary,Corner shop,20-50m²,0.0,0.0,False
2025-11-23 15:30:51,2025-11-23 15:34:31,100,220,True,2025-11-23 15:34:34,CHI,"Galaviz,Martinez,Cobos",Tienda Six,"Av. Juarez 4500B, Cerro Cnel. I, Popular, 31350 Chihuahua, Chih.","-28.6503, -106.0634",Primary,Middle of the street,20-50m²,28.650533167056764,-106.0634417327033,True
2025-11-23 15:33:26,2025-11-23 15:49:45,100,979,True,2025-11-23 15:49:46,CEM,"Contreras, Vazquez, Zago",Miscelanea Irlanda,"Real del Monte 18 J, C. Real del Monte Local 2, Santa Cecilia, Sta Cecilia Acatitlan, 54130 Tlalnepantla, Méx.","(19.5552530, -99.1751719)",Secondary,Middle of the street,<20m²,0.0,0.0,False
2025-11-23 16:28:16,2025-11-23 16:32:43,100,267,True,2025-11-23 16:32:45,CCM,"Gomez,Zavala,Castelan",Abarrotes Super Coapa,"Cacahuatales 14, Coapa, Coapa 2da Secc, Tlalpan, 14300 Ciudad de México, CDMX","19.301135916428976, -99.11782655396982",Secondary,Middle of the street,20-50m²,19.2937984,-99.1232,True
2025-11-23 16:22:06,2025-11-23 16:55:20,100,1993,True,2025-11-23 16:55:21,CSF,"Zonenszain,Grinberg,Mendez",Abarrotes El Olivo," Av. El Olivo 700-Loc. 20, El Olivo, 52789 Naucalpan de Juárez, Méx.","19.38904° N, 99.27595° O",Primary,Middle of the street,<20m²,0.0,0.0,False
2025-11-23 17:28:25,2025-11-23 17:31:59,100,213,True,2025-11-23 17:32:00,SIN,"Robles, Brito",Abarrote Don Eduardo,"Del Heno 1131, Residencial Hacienda, 80015 Culiacán Rosales, Sin.","24°50'07""N 107°22'49""W",Secondary,Middle of the street,20-50m²,0.0,0.0,False
2025-11-24 08:08:41,2025-11-24 08:23:31,100,889,True,2025-11-24 08:23:32,SIN,"Higuera,Pe√±a,Sepulbeda",Cremería y abarrotes Lidia,"Sócrates 3208-3224, Obrero Campesino, 80013 Culiacán Rosales, Sin.","24.83200, 107.37988",Primary,Middle of the street,20-50m²,24.83199794016844,-107.379884143868,True
2025-11-24 10:43:47,2025-11-24 10:47:27,100,219,True,2025-11-24 10:47:28,CEM,"Cortes, Peralta",La Negrin,"P.º de Las Villas 59-Local 18 y 19, Villas de la Hacienda, 52929 Cdad. López Mateos, Méx.","19.59752981980685, -99.22971724712171",Secondary,Middle of the street,20-50m²,0.0,0.0,False
2025-11-24 12:25:01,2025-11-24 13:12:42,100,2861,True,2025-11-24 13:12:43,CEM,"Ramos, Rauda, Velázquez",ReStock,"P.º de Montecristo, Alborada, El Terremoto, 54803 Cuautitlán, Méx","19.688634, -99.145588",Primary,Middle of the street,20-50m²,19.5969843,-99.2272152,True
2025-11-24 13:11:49,2025-11-24 13:14:38,100,169,True,2025-11-24 13:14:39,CSF,"Aburto,Delaye,Govela",Abarrotes Mayoli,"Calle División del Nte. 40, Locaxco, Cuajimalpa de Morelos, 05360 Ciudad de México, CDMX","19.354825, -99.290422",Secondary,Middle of the street,<20m²,0.0,0.0,False
2025-11-25 12:17:07,2025-11-25 12:22:02,100,295,True,2025-11-25 12:22:05,CSF,"Sanchez, G√≥mez, Su√°rez",Abarrotes el bohemio,"Av. Tamaulipas 126, Santa Lucía Reacomodo, Álvaro Obregón, 01500 Ciudad de México, CDMX","(19.3564461, - 99.2598321)",Primary,Corner shop,<20m²,19.356516867921865,-99.26004581900514,True
2025-11-26 11:36:44,2025-11-26 11:37:10,100,26,True,2025-11-26 11:37:13,LAG,"Alba,Lucero,Pantoja",w,js,s,Primary,Corner shop,<20m²,0.0,0.0,False
